S/n,epi_week,State,year,Cases,deaths,cfr
54,38,Akwa-Ibom,2024,12,0,0.0000
55,38,Anambra,2024,1,0,0.0000
56,38,Bauchi,2024,10,0,0.0000
57,38,Bayelsa,2024,1,0,0.0000
58,38,Cross-River,2024,19,0,0.0000
59,38,Delta,2024,13,0,0.0000
60,38,Ekiti,2024,1,0,0.0000
61,38,FCT,2024,3,3,1.0000
62,38,Imo,2024,4,0,0.0000
63,38,Jigawa,2024,9,0,0.0000
64,38,Kaduna,2024,55,4,0.0727
65,38,Kano,2024,39,0,0.0000
66,38,Lagos,2024,1,0,0.0000
67,38,Niger,2024,9,0,0.0000
68,38,Ogun,2024,53,0,0.0000
69,38,Rivers,2024,16,3,0.1875
70,38,Yobe,2024,1,0,0.0000
71,38,Zamfara,2024,20,0,0.0000
72,37,Adamawa,2024,37,4,0.1081
73,37,Bauchi,2024,50,1,0.0200
74,37,Jigawa,2024,103,3,0.0291
75,37,Kaduna,2024,21,1,0.0476
76,37,Lagos,2024,67,0,0.0000
77,37,Oyo,2024,3,1,0.3333
78,37,Yobe,2024,1,1,1.0000
79,36,Adamawa,2024,2,0,0.0000
80,36,Jigawa,2024,7,0,0.0000
81,36,Kano,2024,10,0,0.0000
82,36,Katsina,2024,66,0,0.0000
83,36,Lagos,2024,56,1,0.0179
84,35,Gombe,2024,1,0,0.0000
85,35,Kaduna,2024,2,1,0.5000
86,35,Kano,2024,4,0,0.0000
87,35,Katsina,2024,41,0,0.0000
88,35,Lagos,2024,13,0,0.0000
89,35,Niger,2024,1,0,0.0000
90,34,Bayelsa,2024,3,0,0.0000
91,34,Edo,2024,11,0,0.0000
92,34,Jigawa,2024,15,4,0.2667
93,34,Kaduna,2024,4,0,0.0000
94,34,Katsina,2024,9,1,0.1111
95,34,Lagos,2024,89,0,0.0000
96,34,Yobe,2024,12,0,0.0000
97,34,Zamfara,2024,4,0,0.0000
98,33,Lagos,2024,73,1,0.0137
99,33,Ogun,2024,1,0,0.0000
100,33,Yobe,2024,1,0,0.0000
101,32,Abia,2024,1,0,0.0000
102,32,Adamawa,2024,1,0,0.0000
103,32,Kano,2024,1,0,0.0000
104,32,Kwara,2024,1,0,0.0000
105,32,Lagos,2024,117,1,0.0085
106,31,Akwa-Ibom,2024,1,0,0.0000
107,31,Bauchi,2024,1,0,0.0000
108,31,Jigawa,2024,10,0,0.0000
109,31,Kano,2024,12,2,0.1667
110,31,Katsina,2024,4,0,0.0000
111,31,Lagos,2024,48,1,0.0208
112,31,Ogun,2024,2,0,0.0000
113,30,Lagos,2024,101,1,0.0099
114,30,Katsina,2024,5,0,0.0000
115,30,Abia,2024,1,0,0.0000
116,30,Ogun,2024,2,0,0.0000
117,30,Kano,2024,1,0,0.0000
118,30,Kogi,2024,2,0,0.0000
119,30,Jigawa,2024,5,0,0.0000
120,29,Kogi,2024,5,0,0.0000
121,29,Lagos,2024,162,3,0.0185
122,29,Zamfara,2024,3,0,0.0000
123,28,Anambra,2024,2,0,0.0000
124,28,Bauchi,2024,2,0,0.0000
125,28,FCT,2024,1,0,0.0000
126,28,Imo,2024,1,0,0.0000
127,28,Kano,2024,3,0,0.0000
128,28,Katsina,2024,17,0,0.0000
129,28,Kogi,2024,2,0,0.0000
130,28,Lagos,2024,355,11,0.0310
131,28,Taraba,2024,2,0,0.0000
132,27,Bauchi,2024,2,0,0.0000
133,27,Ebonyi,2024,6,1,0.1667
134,27,Kogi,2024,2,0,0.0000
135,27,Lagos,2024,102,2,0.0196
136,27,Niger,2024,2,0,0.0000
137,27,Oyo,2024,2,0,0.0000
138,26,FCT,2024,1,0,0.0000
139,26,Kogi,2024,1,0,0.0000
140,26,Lagos,2024,186,4,0.0215
141,25,Katsina,2024,2,0,0.0000
142,25,Lagos,2024,104,6,0.0577
143,25,Ogun,2024,8,1,0.1250
144,24,Abia,2024,1,0,0.0000
145,24,Lagos,2024,330,19,0.0576
146,24,Ogun,2024,8,0,0.0000
147,24,Oyo,2024,2,0,0.0000
148,24,Rivers,2024,1,0,0.0000
149,23,Abia,2024,1,0,0.0000
150,23,Bayelsa,2024,2,0,0.0000
151,23,Katsina,2024,6,1,0.1667
152,23,Lagos,2024,99,3,0.0303
153,23,Ogun,2024,3,0,0.0000
154,23,Rivers,2024,8,2,0.2500
155,23,Sokoto,2024,1,0,0.0000
156,22,Katsina,2024,1,1,1.0000
157,22,Kwara,2024,1,0,0.0000
158,17,Abia,2024,4,0,0.0000
159,17,Bayelsa,2024,2,0,0.0000
160,17,Kano,2024,2,0,0.0000
161,12,Bayelsa,2024,9,0,0.0000
162,8,Ogun,2024,1,0,0.0000
163,8,Osun,2024,2,0,0.0000
164,4,Bayelsa,2024,26,0,0.0000
165,4,Cross-River,2024,9,0,0.0000
166,52,Ebonyi,2023,9,0,0.0000
167,52,Jigawa,2023,1,0,0.0000
168,52,Benue,2023,2,0,0.0000
169,52,Kogi,2023,2,0,0.0000
170,48-51,Taraba,2023,14,0,0.0000
171,48-51,Benue,2023,5,1,0.2000
172,48-51,Ogun,2023,7,1,0.1429
173,48-51,Jigawa,2023,3,0,0.0000
174,48-51,Delta,2023,3,2,0.6667
175,48-51,Kano,2023,3,0,0.0000
176,48-51,Oyo,2023,1,0,0.0000
177,48-51,Adamawa,2023,1,0,0.0000
178,48-51,Edo,2023,1,0,0.0000
179,44-47,Niger,2023,34,8,0.2353
180,44-47,Kebbi,2023,23,2,0.0870
181,44-47,Katsina,2023,16,0,0.0000
182,44-47,Delta,2023,12,2,0.1667
183,44-47,Ogun,2023,7,6,0.8571
184,44-47,Adamawa,2023,4,0,0.0000
185,44-47,Kano,2023,3,0,0.0000
186,44-47,Bayelsa,2023,2,0,0.0000
187,44-47,Osun,2023,1,0,0.0000
188,44-47,Oyo,2023,1,1,1.0000
189,31-34,Zamfara,2023,190,17,0.0895
190,31-34,Kano,2023,7,2,0.2857
191,31-34,Bayelsa,2023,5,1,0.2000
192,31-34,Bauchi,2023,2,1,0.5000
193,31-34,Niger,2023,2,2,1.0000
194,31-34,Borno,2023,2,2,1.0000
195,31-34,Gombe,2023,1,1,1.0000
196,31-34,Adamawa,2023,1,1,1.0000
197,27-30,Kano,2023,23,2,0.0870
198,27-30,Jigawa,2023,10,0,0.0000
199,27-30,Katsina,2023,11,1,0.0909
200,27-30,Bauchi,2023,7,0,0.0000
201,27-30,Gombe,2023,5,0,0.0000
202,27-30,Kaduna,2023,5,0,0.0000
203,27-30,Bayelsa,2023,3,0,0.0000
204,27-30,Niger,2023,2,0,0.0000
205,27-30,Borno,2023,2,0,0.0000
206,27-30,Zamfara,2023,1,0,0.0000
207,27-30,Adamawa,2023,1,0,0.0000
208,22-26,Katsina,2023,53,0,0.0000
209,22-26,Jigawa,2023,10,0,0.0000
210,22-26,Niger,2023,10,2,0.2000
211,22-26,Ondo,2023,7,0,0.0000
212,22-26,Borno,2023,5,0,0.0000
213,22-26,Adamawa,2023,2,0,0.0000
214,22-26,Bayelsa,2023,1,0,0.0000
215,22-26,Plateau,2023,1,0,0.0000
216,18-21,Plateau,2023,16,0,0.0000
217,18-21,Bayelsa,2023,9,0,0.0000
218,18-21,Kaduna,2023,8,0,0.0000
219,14-17,Abia,2023,11,0,0.0000
220,14-17,Bayelsa,2023,6,0,0.0000
221,14-17,Cross-River,2023,3,0,0.0000
222,14-17,Katsina,2023,24,10,0.4167
223,14-17,Niger,2023,2,0,0.0000
224,14-17,Zamfara,2023,1,0,0.0000
225,10-13,Bayelsa,2023,21,0,0.0000
226,10-13,Cross-River,2023,61,0,0.0000
227,10-13,Ebonyi,2023,2,1,0.5000
228,10-13,Katsina,2023,1,0,0.0000
229,10-13,Zamfara,2023,13,0,0.0000
230,5-9,Cross-River,2023,397,9,0.0227
231,5-9,Zamfara,2023,25,1,0.0400
232,5-9,Ebonyi,2023,11,1,0.0909
233,5-9,Abia,2023,9,3,0.3333
234,5-9,Bayelsa,2023,3,1,0.3333
235,5-9,Kano,2023,2,0,0.0000
236,1-4,Cross-River,2023,242,7,0.0289
237,1-4,Ebonyi,2023,86,5,0.0581
238,1-4,Niger,2023,38,2,0.0526
239,1-4,Abia,2023,35,3,0.0857
240,1-4,Ondo,2023,10,32,3.2000
241,1-4,Katsina,2023,5,0,0.0000
242,1-4,Sokoto,2023,3,0,0.0000
243,1-4,Zamfara,2023,3,0,0.0000
244,1-4,Osun,2023,1,0,0.0000
245,1-4,Kano,2023,1,0,0.0000
246,48-52,Cross-River,2022,153,7,0.0458
247,48-52,Zamfara,2022,22,0,0.0000
248,48-52,Taraba,2022,11,2,0.1818
249,48-52,Adamawa,2022,11,0,0.0000
250,48-52,Borno,2022,10,0,0.0000
251,48-52,Katsina,2022,7,0,0.0000
252,48-52,Bauchi,2022,4,0,0.0000
253,48-52,Bayelsa,2022,1,0,0.0000
254,44-47,Borno,2022,1124,18,0.0160
255,44-47,Gombe,2022,165,8,0.0485
256,44-47,Bauchi,2022,61,5,0.0820
257,44-47,Katsina,2022,16,0,0.0000
258,44-47,Adamawa,2022,14,0,0.0000
259,44-47,Kano,2022,13,2,0.1538
260,40-43,Borno,2022,4920,50,0.0102
261,40-43,Yobe,2022,191,14,0.0733
262,40-43,Gombe,2022,93,10,0.1075
263,40-43,Sokoto,2022,81,9,0.1111
264,40-43,Taraba,2022,11,2,0.1818
265,40-43,Bauchi,2022,6,0,0.0000
266,40-43,Adamawa,2022,2,0,0.0000
267,36-39,Borno,2022,2626,20,0.0076
268,36-39,Yobe,2022,718,12,0.0167
269,36-39,Gombe,2022,317,9,0.0284
270,36-39,Zamfara,2022,212,12,0.0566
271,36-39,Bauchi,2022,119,10,0.0840
272,36-39,Jigawa,2022,95,10,0.1053
273,36-39,Sokoto,2022,47,4,0.0851
274,36-39,Katsina,2022,16,3,0.1875
275,36-39,Adamawa,2022,3,0,0.0000
276,31-35,Yobe,2022,853,4,0.0047
277,31-35,Borno,2022,333,2,0.0060
278,31-35,Jigawa,2022,247,1,0.0040
279,31-35,Gombe,2022,133,0,0.0000
280,31-35,Borno,2022,160,0,0.0000
281,31-35,Ekiti,2022,1,0,0.0000
282,31-35,Gombe,2022,3,0,0.0000
283,31-35,Jigawa,2022,4,0,0.0000
284,31-35,Kano,2022,171,0,0.0000
285,31-35,Katsina,2022,115,0,0.0000
286,31-35,Kebbi,2022,1,0,0.0000
287,31-35,Plateau,2022,11,0,0.0000
288,31-35,Sokoto,2022,12,0,0.0000
289,31-35,Yobe,2022,4,0,0.0000
290,31-35,Zamfara,2022,11,0,0.0000
291,31-35,Kaduna,2022,14,0,0.0000
292,27-30,Abia,2022,1,0,0.0000
293,27-30,Bauchi,2022,62,0,0.0000
294,27-30,Bayelsa,2022,4,0,0.0000
295,27-30,Benue,2022,1,0,0.0000
296,27-30,Borno,2022,160,9,0.0563
297,27-30,Ekiti,2022,1,0,0.0000
298,27-30,Gombe,2022,3,0,0.0000
299,27-30,Jigawa,2022,4,0,0.0000
300,27-30,Kaduna,2022,14,3,0.2143
301,27-30,Kano,2022,171,3,0.0175
302,27-30,Katsina,2022,115,6,0.0522
303,27-30,Kebbi,2022,1,0,0.0000
304,27-30,Plateau,2022,11,1,0.0909
305,27-30,Sokoto,2022,12,2,0.1667
306,27-30,Yobe,2022,4,0,0.0000
307,27-30,Zamfara,2022,11,2,0.1818
308,22-26,Anambra,2022,1,0,0.0000
309,22-26,Bauchi,2022,8,0,0.0000
310,22-26,Benue,2022,5,0,0.0000
311,22-26,Borno,2022,2,0,0.0000
312,22-26,Gombe,2022,3,0,0.0000
313,22-26,Kaduna,2022,13,0,0.0000
314,22-26,Kano,2022,35,2,0.0571
315,22-26,Katsina,2022,7,0,0.0000
316,22-26,Ondo,2022,74,0,0.0000
317,22-26,Plateau,2022,2,1,0.5000
318,22-26,Sokoto,2022,6,0,0.0000
319,22-26,Yobe,2022,5,0,0.0000
320,22-26,Zamfara,2022,24,1,0.0417
321,18-21,Anambra,2022,2,0,0.0000
322,18-21,Gombe,2022,1,0,0.0000
323,18-21,Imo,2022,3,0,0.0000
324,18-21,Kaduna,2022,4,0,0.0000
325,18-21,Kano,2022,68,1,0.0147
326,18-21,Niger,2022,1,0,0.0000
327,18-21,Plateau,2022,22,1,0.0455
328,18-21,Taraba,2022,36,0,0.0000
329,01-17,Cross-River,2022,593,6,0.0101
330,01-17,Taraba,2022,615,8,0.0130
331,01-17,Katsina,2022,134,28,0.2090
332,01-17,Borno,2022,91,11,0.1209
333,01-17,Bayelsa,2022,76,3,0.0395
334,01-17,Adamawa,2022,56,0,0.0000
335,01-17,Kebbi,2022,53,0,0.0000
336,01-17,Rivers,2022,50,3,0.0600
337,01-17,Ondo,2022,41,0,0.0000
338,01-17,Lagos,2022,33,1,0.0303
339,01-17,Akwa-Ibom,2022,30,5,0.1667
340,01-17,Kwara,2022,30,0,0.0000
341,01-17,Zamfara,2022,28,2,0.0714
342,01-17,Abia,2022,25,1,0.0400
343,01-17,Bauchi,2022,4,0,0.0000
344,01-17,Nassarawa,2022,2,0,0.0000
345,52,Borno,2021,6,0,0.0000
346,52,Lagos,2021,9,0,0.0000
347,52,Gombe,2021,16,0,0.0000
348,52,Adamawa,2021,7,0,0.0000
349,52,Nassarawa,2021,6,0,0.0000
350,52,Akwa-Ibom,2021,2,0,0.0000
351,51,Borno,2021,196,0,0.0000
352,51,Lagos,2021,38,0,0.0000
353,51,Adamawa,2021,25,0,0.0000
354,51,Nassarawa,2021,16,0,0.0000
355,51,Kwara,2021,1,0,0.0000
356,51,Abia,2021,1,0,0.0000
357,51,Ekiti,2021,1,0,0.0000
358,51,Akwa-Ibom,2021,2,0,0.0000
359,50,Borno,2021,42,0,0.0000
360,50,Gombe,2021,2,0,0.0000
361,50,Adamawa,2021,21,0,0.0000
362,50,Nassarawa,2021,40,4,0.1000
363,50,Lagos,2021,13,1,0.0769
364,50,Kwara,2021,15,1,0.0667
365,50,Rivers,2021,2,0,0.0000
366,50,Ondo,2021,2,0,0.0000
367,49,Bauchi,2021,7,0,0.0000
368,49,Zamfara,2021,2,0,0.0000
369,49,Katsina,2021,3,0,0.0000
370,49,Gombe,2021,2,0,0.0000
371,49,Nassarawa,2021,21,0,0.0000
372,49,Benue,2021,8,0,0.0000
373,49,Bayelsa,2021,5,0,0.0000
374,49,Lagos,2021,3,0,0.0000
375,49,Rivers,2021,8,0,0.0000
376,49,Ondo,2021,4,0,0.0000
377,48,Borno,2021,78,0,0.0000
378,48,Yobe,2021,4,0,0.0000
379,48,Gombe,2021,8,1,0.1250
380,48,Adamawa,2021,27,0,0.0000
381,48,Nassarawa,2021,40,2,0.0500
382,48,Bayelsa,2021,25,4,0.1600
383,48,Taraba,2021,4,0,0.0000
384,48,Lagos,2021,1,0,0.0000
385,48,Osun,2021,9,0,0.0000
386,48,Ondo,2021,5,0,0.0000
387,47,Zamfara,2021,7,0,0.0000
388,47,Yobe,2021,14,0,0.0000
389,47,Gombe,2021,1,0,0.0000
390,47,Adamawa,2021,139,4,0.0288
391,47,Nassarawa,2021,22,4,0.1818
392,47,Benue,2021,4,0,0.0000
393,47,Taraba,2021,22,0,0.0000
394,47,Oyo,2021,7,1,0.1429
395,47,Ondo,2021,1,0,0.0000
396,46,Zamfara,2021,15,0,0.0000
397,46,Kebbi,2021,2,0,0.0000
398,46,Kaduna,2021,2,0,0.0000
399,46,Adamawa,2021,3,0,0.0000
400,46,Nassarawa,2021,28,0,0.0000
401,46,Lagos,2021,3,2,0.6667
402,45,Zamfara,2021,12,0,0.0000
403,45,Gombe,2021,30,0,0.0000
404,45,Adamawa,2021,95,2,0.0211
405,45,Taraba,2021,8,0,0.0000
406,45,Lagos,2021,3,0,0.0000
407,44,Kebbi,2021,20,0,0.0000
408,44,Borno,2021,32,2,0.0625
409,44,Adamawa,2021,19,0,0.0000
410,44,Oyo,2021,2,0,0.0000
411,44,Ogun,2021,2,0,0.0000
412,44,Cross-River,2021,3,2,0.6667
413,43,Bauchi,2021,6,0,0.0000
414,43,Zamfara,2021,1,0,0.0000
415,43,Sokoto,2021,12,0,0.0000
416,43,Kebbi,2021,20,0,0.0000
417,43,Borno,2021,210,3,0.0143
418,43,Yobe,2021,61,0,0.0000
419,43,Niger,2021,1,0,0.0000
420,43,Kaduna,2021,14,1,0.0714
421,43,Gombe,2021,1,0,0.0000
422,43,Adamawa,2021,68,1,0.0147
423,43,Benue,2021,2,0,0.0000
424,43,Oyo,2021,2,1,0.5000
425,43,Ogun,2021,10,2,0.2000
426,43,Cross-River,2021,1,0,0.0000
427,42,Zamfara,2021,16,0,0.0000
428,42,Sokoto,2021,1,0,0.0000
429,42,Yobe,2021,135,2,0.0148
430,42,Kaduna,2021,1,0,0.0000
431,42,Gombe,2021,6,0,0.0000
432,42,Adamawa,2021,95,4,0.0421
433,41,Zamfara,2021,67,3,0.0448
434,41,Katsina,2021,14,0,0.0000
435,41,Yobe,2021,121,5,0.0413
436,41,Niger,2021,49,4,0.0816
437,41,Kaduna,2021,9,1,0.1111
438,41,Borno,2021,71,3,0.0423
439,41,Adamawa,2021,86,5,0.0581
440,40,Zamfara,2021,137,0,0.0000
441,40,Sokoto,2021,33,0,0.0000
442,40,Katsina,2021,261,0,0.0000
443,40,Gombe,2021,70,0,0.0000
444,40,Adamawa,2021,34,0,0.0000
445,39,Bauchi,2021,113,3,0.0265
446,39,Kano,2021,3,0,0.0000
447,39,Sokoto,2021,84,3,0.0357
448,39,Katsina,2021,35,0,0.0000
449,39,Zamfara,2021,136,0,0.0000
450,39,Kebbi,2021,26,1,0.0385
451,39,Yobe,2021,230,3,0.0130
452,39,Nassarawa,2021,4,0,0.0000
453,39,Gombe,2021,5,0,0.0000
454,39,Adamawa,2021,42,0,0.0000
455,39,Oyo,2021,32,0,0.0000
456,39,Ebonyi,2021,26,1,0.0385
457,39,Abia,2021,1,0,0.0000
458,38,Bauchi,2021,28,0,0.0000
459,38,Kano,2021,57,0,0.0000
460,38,Katsina,2021,92,2,0.0217
461,38,Sokoto,2021,12,0,0.0000
462,38,Zamfara,2021,43,0,0.0000
463,38,Yobe,2021,204,0,0.0000
464,38,Niger,2021,72,2,0.0278
465,38,Kebbi,2021,22,0,0.0000
466,38,Kaduna,2021,8,0,0.0000
467,38,Borno,2021,45,0,0.0000
468,38,Nassarawa,2021,9,0,0.0000
469,38,Adamawa,2021,41,1,0.0244
470,37,Bauchi,2021,347,2,0.0058
471,37,Kano,2021,46,0,0.0000
472,37,Jigawa,2021,22,6,0.2727
473,37,Katsina,2021,282,5,0.0177
474,37,Sokoto,2021,13,0,0.0000
475,37,Zamfara,2021,524,19,0.0363
476,37,Kebbi,2021,22,2,0.0909
477,37,Yobe,2021,302,7,0.0232
478,37,Kaduna,2021,12,0,0.0000
479,37,Borno,2021,139,5,0.0360
480,37,Gombe,2021,22,0,0.0000
481,37,Adamawa,2021,76,7,0.0921
482,37,Kwara,2021,5,2,0.4000
483,37,Taraba,2021,1,0,0.0000
484,37,Abia,2021,12,0,0.0000
485,36,Abia,2021,13,0,0.0000
486,36,Adamawa,2021,63,5,0.0794
487,36,Bauchi,2021,472,1,0.0021
488,36,Borno,2021,106,1,0.0094
489,36,Gombe,2021,34,2,0.0588
490,36,Jigawa,2021,95,2,0.0211
491,36,Kaduna,2021,68,6,0.0882
492,36,Katsina,2021,194,4,0.0206
493,36,Niger,2021,1,0,0.0000
494,36,Ogun,2021,8,1,0.1250
495,36,Sokoto,2021,38,0,0.0000
496,36,Taraba,2021,10,1,0.1000
497,36,Yobe,2021,80,0,0.0000
498,35,Adamawa,2021,34,1,0.0294
499,35,Bauchi,2021,566,6,0.0106
500,35,Borno,2021,179,13,0.0726
501,35,Gombe,2021,8,0,0.0000
502,35,Kaduna,2021,66,2,0.0303
503,35,Kano,2021,4,1,0.2500
504,35,Katsina,2021,282,8,0.0284
505,35,Kebbi,2021,2,0,0.0000
506,35,Nassarawa,2021,1,0,0.0000
507,35,Niger,2021,94,3,0.0319
508,35,Sokoto,2021,258,12,0.0465
509,35,Yobe,2021,183,0,0.0000
510,34,Bauchi,2021,855,10,0.0117
511,34,Kano,2021,306,7,0.0229
512,34,Jigawa,2021,1,0,0.0000
513,34,Sokoto,2021,45,4,0.0889
514,34,Katsina,2021,396,6,0.0152
515,34,Zamfara,2021,80,4,0.0500
516,34,Kebbi,2021,17,1,0.0588
517,34,Niger,2021,78,3,0.0385
518,34,Kaduna,2021,41,1,0.0244
519,34,Plateau,2021,2,0,0.0000
520,34,FCT,2021,18,0,0.0000
521,34,Yobe,2021,162,1,0.0062
522,34,Nassarawa,2021,10,2,0.2000
523,34,Gombe,2021,21,0,0.0000
524,34,Borno,2021,67,4,0.0597
525,34,Adamawa,2021,15,0,0.0000
526,34,Taraba,2021,13,5,0.3846
527,33,Bauchi,2021,1145,16,0.0140
528,33,Jigawa,2021,187,4,0.0214
529,33,Kano,2021,80,1,0.0125
530,33,Sokoto,2021,196,4,0.0204
531,33,Zamfara,2021,454,6,0.0132
532,33,Katsina,2021,691,19,0.0275
533,33,Kebbi,2021,3,0,0.0000
534,33,Niger,2021,79,7,0.0886
535,33,FCT,2021,11,0,0.0000
536,33,Yobe,2021,216,1,0.0046
537,33,Borno,2021,30,4,0.1333
538,33,Adamawa,2021,6,1,0.1667
539,32,Bauchi,2021,1306,25,0.0191
540,32,Kano,2021,36,3,0.0833
541,32,Jigawa,2021,714,17,0.0238
542,32,Sokoto,2021,101,1,0.0099
543,32,Zamfara,2021,57,0,0.0000
544,32,Katsina,2021,173,7,0.0405
545,32,Kebbi,2021,325,14,0.0431
546,32,Plateau,2021,1,0,0.0000
547,32,Niger,2021,33,0,0.0000
548,32,FCT,2021,3,0,0.0000
549,32,Nassarawa,2021,20,1,0.0500
550,32,Yobe,2021,164,3,0.0183
551,32,Borno,2021,7,0,0.0000
552,32,Adamawa,2021,44,1,0.0227
553,30,Bauchi,2021,773,11,0.0142
554,30,Niger,2021,183,6,0.0328
555,30,Katsina,2021,120,10,0.0833
556,30,FCT,2021,64,2,0.0313
557,30,Jigawa,2021,13,1,0.0769
558,30,Kano,2021,4,0,0.0000
559,30,Borno,2021,4,0,0.0000
560,30,Adamawa,2021,1,0,0.0000
561,29,Bauchi,2021,280,0,0.0000
562,29,Jigawa,2021,201,4,0.0199
563,29,Kano,2021,71,0,0.0000
564,29,Zamfara,2021,35,3,0.0857
565,29,Enugu,2021,30,0,0.0000
566,29,Katsina,2021,20,0,0.0000
567,29,Borno,2021,11,0,0.0000
568,29,Adamawa,2021,2,0,0.0000
569,27,Bauchi,2021,1364,13,0.0095
570,27,Kaduna,2021,17,0,0.0000
571,27,Zamfara,2021,35,0,0.0000
572,27,Kano,2021,231,12,0.0519
573,27,Plateau,2021,42,0,0.0000
574,27,Niger,2021,70,2,0.0286
575,27,FCT,2021,13,0,0.0000
576,27,Jigawa,2021,99,4,0.0404
577,27,Kwara,2021,14,0,0.0000
578,25,Plateau,2021,9,0,0.0000
579,25,Bauchi,2021,1239,5,0.0040
580,25,Kaduna,2021,59,0,0.0000
581,25,Zamfara,2021,55,0,0.0000
582,25,Kano,2021,362,7,0.0193
583,25,Niger,2021,62,4,0.0645
584,13-24,Bayelsa,2021,200,9,0.0450
585,13-24,Benue,2021,46,6,0.1304
586,13-24,Sokoto,2021,1828,86,0.0470
587,13-24,Gombe,2021,62,1,0.0161
588,13-24,Delta,2021,156,10,0.0641
589,13-24,Cross-River,2021,31,0,0.0000
590,13-24,Kebbi,2021,35,1,0.0286
591,13-24,Nassarawa,2021,297,8,0.0269
592,13-24,Plateau,2021,324,4,0.0123
593,13-24,Bauchi,2021,2315,36,0.0156
594,13-24,Kaduna,2021,38,5,0.1316
595,13-24,Zamfara,2021,1961,10,0.0051
596,13-24,Kano,2021,1932,66,0.0342
597,1-12,Bayelsa,2021,58,6,0.1034
598,1-12,Benue,2021,556,6,0.0108
599,1-12,Delta,2021,427,22,0.0515
600,1-12,Gombe,2021,128,0,0.0000
601,1-12,Kogi,2021,12,4,0.3333
602,1-12,Nassarawa,2021,114,9,0.0789
603,1-12,Sokoto,2021,313,0,0.0000
604,1-12,Zamfara,2021,138,3,0.0217
