s/n,epi_week,state,year,cases,deaths,cfr,suspected_cases,confirmed_cases,rainfall_mm,temperature_c,humidity_pct,rainfall_anomaly_mm,rainfall_zscore,heavy_rain_flag,extreme_rain_flag,rolling_4_rainfall_mm,reliefweb_flood_reports,basic_water_pct,safely_managed_water_pct,basic_sanitation_pct,safely_managed_sanitation_pct,open_defecation_pct,idp_population,returnee_population,displacement_round,displacement_data_age_days,health_facility_count,hospital_count,phc_count,epi_week_label,epi_week_start,epi_week_end,period_weeks,state_code,report_gap_weeks,date,month,quarter,rainy_season,lag_1_cases,lag_2_cases,lag_4_cases,lag_8_cases,lag_1_deaths,lag_1_cfr,lag_2_deaths,lag_2_cfr,lag_4_deaths,lag_4_cfr,rolling_4_cases,rolling_8_cases,rolling_4_deaths,rolling_4_cfr,risk_threshold_basis,risk_low_threshold,risk_high_threshold,risk_level
149,23,Abia,2024,1,0,0.0,1,,28.48,26.395714285714288,90.21142857142856,-33.684,-1.1837192089042543,0,0,208.0,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1321.0,39.0,1158.0,23,23,23,1,0,5,2024-06-03,6,2,1,4.0,11.0,35.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0857,14.75,10.875,1.5,0.10475000000000001,iqr_trimmed_quantiles,9.0,30.0,Low
144,24,Abia,2024,1,0,0.0,1,,90.05999999999999,26.382857142857144,88.87142857142858,44.20399999999999,1.505099219836424,1,0,190.39,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1321.0,39.0,1158.0,24,24,24,1,0,0,2024-06-10,6,2,1,1.0,4.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,0.3333,6.25,10.875,0.75,0.08332500000000001,iqr_trimmed_quantiles,9.0,30.0,Low
115,30,Abia,2024,1,0,0.0,1,,15.760000000000002,25.79,87.99142857142859,-32.331999999999994,-0.9126189516644304,0,0,205.89,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1321.0,39.0,1158.0,30,30,30,1,0,5,2024-07-22,7,3,1,1.0,1.0,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,10.875,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,Low
101,32,Abia,2024,1,0,0.0,1,,11.27,25.722857142857144,87.17999999999999,-66.378,-1.1636854244018802,0,0,135.84,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1321.0,39.0,1158.0,32,32,32,1,0,1,2024-08-05,8,3,1,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,7.875,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,Low
1,4,Abia,2025,30,1,0.0333,30,,2.1,25.9625,76.5125,-4.8265,-0.7149549655337958,0,0,1.35,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1321.0,39.0,1158.0,1-4,1,4,4,0,0,2025-01-20,1,1,0,1.0,1.0,1.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.875,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,High
23,5,Abia,2025,2,0,0.0,2,,0.11,26.052857142857142,76.87428571428572,-0.604,-0.6801215325076652,0,0,1.45,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1321.0,39.0,1158.0,5,5,5,1,0,0,2025-01-27,1,1,0,30.0,1.0,1.0,9.0,1.0,0.0333,0.0,0.0,0.0,0.0,8.25,7.25,0.25,0.008325,iqr_trimmed_quantiles,9.0,30.0,Low
30,9,Abia,2025,12,0,0.0,12,,22.04,27.33321428571429,79.97142857142858,0.8870000000000001,-0.05574177836531924,0,0,8.715,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1321.0,39.0,1158.0,6-9,6,9,4,0,0,2025-02-24,2,1,0,2.0,30.0,1.0,11.0,0.0,0.0,1.0,0.0333,0.0,0.0,8.5,6.375,0.25,0.008325,iqr_trimmed_quantiles,9.0,30.0,Medium
568,29,Adamawa,2021,2,0,0.0,2,,51.89,25.474285714285717,85.97,-50.49200000000002,-0.3376709623863869,1,0,240.46,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,29,29,29,1,1,0,2021-07-19,7,3,1,,,,,,,,,,,,,,,iqr_trimmed_quantiles,9.0,30.0,Low
560,30,Adamawa,2021,1,0,0.0,1,,21.03,25.277142857142856,84.12571428571428,-57.584,-0.5735714361382216,0,0,179.89,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,30,30,30,1,1,0,2021-07-26,7,3,1,2.0,,,,0.0,0.0,,,,,2.0,2.0,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,Low
552,32,Adamawa,2021,44,1,0.0227,44,,73.9,25.267142857142854,84.7,35.498000000000005,1.4110600338644388,1,1,173.82,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,32,32,32,1,1,1,2021-08-09,8,3,1,1.0,2.0,,,0.0,0.0,0.0,0.0,,,1.5,1.5,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,High
538,33,Adamawa,2021,6,1,0.1667,6,,31.94,25.192857142857143,84.27,-1.8639999999999937,-0.1224655884741015,0,0,153.87,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,33,33,33,1,1,0,2021-08-16,8,3,1,44.0,1.0,,,1.0,0.0227,0.0,0.0,,,15.666666666666666,15.666666666666666,0.3333333333333333,0.007566666666666667,iqr_trimmed_quantiles,9.0,30.0,Low
525,34,Adamawa,2021,15,0,0.0,15,,42.68,26.33857142857143,81.78,6.725999999999999,0.3432884245092107,0,0,175.52,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,34,34,34,1,1,0,2021-08-23,8,3,1,6.0,44.0,2.0,,1.0,0.1667,1.0,0.0227,0.0,0.0,13.25,13.25,0.5,0.047349999999999996,iqr_trimmed_quantiles,9.0,30.0,Medium
498,35,Adamawa,2021,34,1,0.0294,34,,13.62,26.092857142857145,81.87142857142858,-8.564000000000002,-0.7440960314028161,0,0,162.14,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,35,35,35,1,1,0,2021-08-30,8,3,1,15.0,6.0,1.0,,0.0,0.0,1.0,0.1667,0.0,0.0,16.5,13.6,0.5,0.047349999999999996,iqr_trimmed_quantiles,9.0,30.0,High
486,36,Adamawa,2021,63,5,0.0794,63,,50.540000000000006,26.307142857142857,81.13,-0.8019999999999996,-0.041211154186286,1,0,138.78,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,36,36,36,1,1,0,2021-09-06,9,3,1,34.0,15.0,44.0,,1.0,0.0294,0.0,0.0,1.0,0.0227,24.75,17.0,0.75,0.0547,iqr_trimmed_quantiles,9.0,30.0,High
481,37,Adamawa,2021,76,7,0.0921,76,,40.39,25.93285714285714,84.02428571428571,12.966,0.8837715278238919,0,0,147.23000000000002,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,37,37,37,1,1,0,2021-09-13,9,3,1,63.0,34.0,6.0,,5.0,0.0794,1.0,0.0294,1.0,0.1667,29.5,23.571428571428573,1.75,0.06887499999999999,iqr_trimmed_quantiles,9.0,30.0,High
469,38,Adamawa,2021,41,1,0.0244,41,,90.54,26.005714285714284,83.71571428571428,53.46600000000001,1.664763982748176,1,1,195.09,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,38,38,38,1,1,0,2021-09-20,9,3,1,76.0,63.0,15.0,2.0,7.0,0.0921,5.0,0.0794,0.0,0.0,47.0,30.125,3.25,0.050225,iqr_trimmed_quantiles,9.0,30.0,High
454,39,Adamawa,2021,42,0,0.0,42,,14.7,27.06,79.60571428571428,-9.244,-0.7306012969264314,0,0,196.17,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,39,39,39,1,1,0,2021-09-27,9,3,1,41.0,76.0,34.0,1.0,1.0,0.0244,7.0,0.0921,1.0,0.0294,53.5,35.0,3.5,0.056325,iqr_trimmed_quantiles,9.0,30.0,High
444,40,Adamawa,2021,34,0,0.0,34,,23.78,27.924285714285716,75.58571428571429,-6.468,-0.4541239448735051,0,0,169.41,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,40,40,40,1,1,0,2021-10-04,10,4,1,42.0,41.0,63.0,44.0,0.0,0.0,1.0,0.0244,5.0,0.0794,55.5,40.125,3.25,0.048975,iqr_trimmed_quantiles,9.0,30.0,High
439,41,Adamawa,2021,86,5,0.0581,86,,5.1,27.56714285714286,74.56142857142858,-1.274,-0.254447427466378,0,0,134.12,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,41,41,41,1,1,0,2021-10-11,10,4,1,34.0,42.0,76.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0921,48.25,38.875,2.0,0.029125,iqr_trimmed_quantiles,9.0,30.0,High
432,42,Adamawa,2021,95,4,0.0421,95,,11.37,27.207142857142856,77.56142857142858,4.347999999999999,0.9818508811150836,0,0,54.95,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,42,42,42,1,1,0,2021-10-18,10,4,1,86.0,34.0,41.0,15.0,5.0,0.0581,0.0,0.0,1.0,0.0244,50.75,48.875,1.5,0.020625,iqr_trimmed_quantiles,9.0,30.0,High
422,43,Adamawa,2021,68,1,0.0147,68,,9.85,28.33142857142857,66.78,7.3,1.749731857885935,0,0,50.1,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,43,43,43,1,1,0,2021-10-25,10,4,1,95.0,86.0,42.0,34.0,4.0,0.0421,5.0,0.0581,0.0,0.0,64.25,58.875,2.25,0.02505,iqr_trimmed_quantiles,9.0,30.0,High
409,44,Adamawa,2021,19,0,0.0,19,,22.99,28.312857142857144,63.93285714285714,18.014,1.785157288841769,0,0,49.31,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,44,44,44,1,1,0,2021-11-01,11,4,0,68.0,95.0,34.0,63.0,1.0,0.0147,4.0,0.0421,0.0,0.0,70.75,63.125,2.5,0.028725,iqr_trimmed_quantiles,9.0,30.0,Medium
404,45,Adamawa,2021,95,2,0.0211,95,,66.69,27.301428571428573,56.08,53.292,1.7888401974952686,1,1,110.9,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,45,45,45,1,1,0,2021-11-08,11,4,0,19.0,68.0,86.0,76.0,0.0,0.0,1.0,0.0147,5.0,0.0581,67.0,57.625,2.5,0.028725,iqr_trimmed_quantiles,9.0,30.0,High
399,46,Adamawa,2021,3,0,0.0,3,,1.51,27.587142857142855,53.43,0.848,0.929558610214722,0,0,101.04,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,46,46,46,1,1,0,2021-11-15,11,4,0,95.0,19.0,95.0,41.0,2.0,0.0211,0.0,0.0,4.0,0.0421,69.25,60.0,1.75,0.019475,iqr_trimmed_quantiles,9.0,30.0,Low
390,47,Adamawa,2021,139,4,0.0288,139,,0.03,27.102857142857143,45.21,0.022,1.687322975464215,0,0,91.22,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,47,47,47,1,1,0,2021-11-22,11,4,0,3.0,95.0,68.0,42.0,0.0,0.0,2.0,0.0211,1.0,0.0147,46.25,55.25,0.75,0.00895,iqr_trimmed_quantiles,9.0,30.0,High
380,48,Adamawa,2021,27,0,0.0,27,,0.01,26.56714285714286,41.621428571428574,0.008,1.7888543819998317,0,0,68.24000000000001,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,48,48,48,1,1,0,2021-11-29,11,4,0,139.0,3.0,19.0,34.0,4.0,0.0288,0.0,0.0,0.0,0.0,64.0,67.375,1.5,0.012475,iqr_trimmed_quantiles,9.0,30.0,Medium
361,50,Adamawa,2021,21,0,0.0,21,,0.0,25.138571428571428,38.432857142857145,0.0,0.0,0,0,0.0400000000000142,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,50,50,50,1,1,1,2021-12-13,12,4,0,27.0,139.0,95.0,86.0,0.0,0.0,4.0,0.0288,2.0,0.0211,66.0,66.5,1.5,0.012475,iqr_trimmed_quantiles,9.0,30.0,Medium
353,51,Adamawa,2021,25,0,0.0,25,,0.39,25.537142857142857,34.19428571428572,0.312,1.7888543819998317,0,0,0.4000000000000142,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,51,51,51,1,1,0,2021-12-20,12,4,0,21.0,27.0,3.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,58.375,1.0,0.0072,iqr_trimmed_quantiles,9.0,30.0,Medium
348,52,Adamawa,2021,7,0,0.0,7,,3.21,24.74428571428572,36.13428571428572,2.568,1.788854381999832,0,0,3.6000000000000143,0,77.8385518833185,28.3555720870985,45.4491559568794,30.7931355307584,18.7432459114042,0.0,0,0,365,1561.0,12.0,1469.0,52,52,52,1,1,0,2021-12-27,12,4,0,25.0,21.0,139.0,68.0,0.0,0.0,0.0,0.0,4.0,0.0288,53.0,49.625,1.0,0.0072,iqr_trimmed_quantiles,9.0,30.0,Low
334,17,Adamawa,2022,56,0,0.0,56,,132.82,29.10235294117647,31.265462184873947,5.2145882352941175,0.35148227826089123,1,1,17.64000000000001,0,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,0.0,0,0,365,1561.0,12.0,1469.0,01-17,1,17,17,1,0,2022-04-25,4,2,1,7.0,25.0,27.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,42.0,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,High
275,39,Adamawa,2022,3,0,0.0,3,,148.44,25.878214285714286,83.07285714285715,2.164000000000001,0.13866141028147524,1,1,195.04500000000002,0,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,0.0,0,0,365,1561.0,12.0,1469.0,36-39,36,39,4,1,18,2022-09-26,9,3,1,56.0,7.0,21.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,27.25,46.625,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,Low
266,43,Adamawa,2022,2,0,0.0,2,,41.87999999999999,26.2675,75.44607142857143,-1.0785000000000011,-0.34993536963845484,0,0,67.33750000000003,0,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,0.0,0,0,365,1561.0,12.0,1469.0,40-43,40,43,4,1,0,2022-10-24,10,4,1,3.0,56.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,35.125,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,Low
258,47,Adamawa,2022,14,0,0.0,14,,0.12,26.18642857142857,51.44571428571429,-4.730999999999999,-0.5675476516166904,0,0,3.6150000000000277,0,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,0.0,0,0,365,1561.0,12.0,1469.0,44-47,44,47,4,1,0,2022-11-21,11,4,0,2.0,3.0,7.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,35.0,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,Medium
249,52,Adamawa,2022,11,0,0.0,11,,0.0,24.689714285714285,38.043142857142854,-0.1444,-0.2683281572999748,0,0,0.0,0,79.457946920672,28.9123382327651,46.5706755484283,31.4553515414556,18.4410066468131,0.0,0,0,365,1561.0,12.0,1469.0,48-52,48,52,5,1,0,2022-12-26,12,4,0,14.0,2.0,56.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,19.375,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,Medium
213,26,Adamawa,2023,2,0,0.0,2,,102.57,29.412285714285712,64.75457142857144,-8.0068,-0.4667805698116986,0,0,72.13200000000003,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,1561.0,12.0,1469.0,22-26,22,26,5,1,0,2023-06-26,6,2,1,11.0,14.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,17.375,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,Low
207,30,Adamawa,2023,1,0,0.0,1,,61.19,29.294999999999998,64.56821428571429,-45.98650000000001,-0.7307451067952927,0,0,74.64750000000004,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,1561.0,12.0,1469.0,27-30,27,30,4,1,0,2023-07-24,7,3,1,2.0,11.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,15.0,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,Low
196,34,Adamawa,2023,1,1,1.0,1,,109.84,27.599999999999998,73.98785714285714,-8.589499999999997,-0.4189960901654896,0,0,94.64500000000004,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,1561.0,12.0,1469.0,31-34,31,34,4,1,0,2023-08-21,8,3,1,1.0,2.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,Low
184,47,Adamawa,2023,4,0,0.0,4,,3.42,31.02857142857143,40.99107142857143,-3.9059999999999997,0.15405998801657345,0,0,5.587500000000029,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,1561.0,12.0,1469.0,44-47,44,47,4,1,9,2023-11-20,11,4,0,1.0,1.0,11.0,56.0,1.0,1.0,0.0,0.0,0.0,0.0,3.75,11.25,0.25,0.25,iqr_trimmed_quantiles,9.0,30.0,Low
177,51,Adamawa,2023,1,0,0.0,1,,0.0,28.45714285714286,23.535357142857144,-0.02,-0.22360679774997896,0,0,0.9125000000000213,0,81.0772897042816,29.4651386798622,47.7155813553496,32.1314589229297,18.1372592328994,0.0,0,0,365,1561.0,12.0,1469.0,48-51,48,51,4,1,0,2023-12-18,12,4,0,4.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.75,0.25,0.25,iqr_trimmed_quantiles,9.0,30.0,Low
102,32,Adamawa,2024,1,0,0.0,1,,9.56,25.714285714285715,86.00285714285714,-28.842,-1.1464813087136778,0,0,685.7,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1561.0,12.0,1469.0,32,32,32,1,1,0,2024-08-05,8,3,1,1.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,4.5,0.25,0.25,iqr_trimmed_quantiles,9.0,30.0,Low
79,36,Adamawa,2024,2,0,0.0,2,,39.78,25.37142857142857,84.82428571428571,-11.562000000000005,-0.594118908605785,0,0,102.95000000000006,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1561.0,12.0,1469.0,36,36,36,1,1,3,2024-09-02,9,3,1,1.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,1.75,4.375,0.25,0.25,iqr_trimmed_quantiles,9.0,30.0,Low
72,37,Adamawa,2024,37,4,0.1081,37,,7.07,26.724285714285717,82.23428571428572,-20.354,-1.3873427176714093,0,0,98.82000000000004,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1561.0,12.0,1469.0,37,37,37,1,1,0,2024-09-09,9,3,1,2.0,1.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.875,0.0,0.0,iqr_trimmed_quantiles,9.0,30.0,High
53,38,Adamawa,2024,267,2,0.0075,267,,18.19,26.59857142857143,80.34,-18.884,-0.5879886853367849,0,0,83.99000000000007,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1561.0,12.0,1469.0,38,38,38,1,1,0,2024-09-16,9,3,1,37.0,2.0,1.0,2.0,4.0,0.1081,0.0,0.0,0.0,0.0,10.25,6.125,1.0,0.027025,iqr_trimmed_quantiles,9.0,30.0,High
48,39,Adamawa,2024,131,3,0.0229,131,,45.75,26.747142857142855,79.34571428571428,21.806,1.7234413544761753,1,0,110.79000000000006,0,82.2488935172216,29.904599188308,47.9019370619136,32.2082592818415,17.9570129436897,0.0,0,0,365,1561.0,12.0,1469.0,39,39,39,1,1,0,2024-09-23,9,3,1,267.0,37.0,1.0,1.0,2.0,0.0075,4.0,0.1081,0.0,0.0,76.75,39.25,1.5,0.028900000000000002,iqr_trimmed_quantiles,9.0,30.0,High
