state,year,epi_week,actual_cases,predicted_cases
Zamfara,2024,17,36,25.867596
Abia,2024,18,14,21.742186
Adamawa,2024,18,40,29.714216
Akwa Ibom,2024,18,37,31.95068
Anambra,2024,18,18,22.276287
Bauchi,2024,18,38,30.88838
Bayelsa,2024,18,32,27.484161
Benue,2024,18,26,28.710068
Borno,2024,18,42,30.309095
Cross River,2024,18,39,33.05102
Delta,2024,18,33,31.028856
Ebonyi,2024,18,24,23.959593
Edo,2024,18,21,29.652805
Ekiti,2024,18,22,28.144352
Enugu,2024,18,26,21.915432
FCT,2024,18,23,26.31876
Gombe,2024,18,38,29.830479
Imo,2024,18,17,21.728966
Jigawa,2024,18,34,30.630257
Kaduna,2024,18,30,30.96672
Kano,2024,18,34,30.288048
Katsina,2024,18,23,26.674501
Kebbi,2024,18,40,30.604067
Kogi,2024,18,26,26.014557
Kwara,2024,18,21,25.69116
Lagos,2024,18,11,21.171951
Nasarawa,2024,18,33,26.19508
Niger,2024,18,26,26.910114
Ogun,2024,18,30,30.0343
Ondo,2024,18,25,27.420708
Osun,2024,18,30,27.567173
Oyo,2024,18,30,29.48591
Plateau,2024,18,25,25.784218
Rivers,2024,18,36,28.017342
Sokoto,2024,18,25,27.606726
Taraba,2024,18,32,28.639364
Yobe,2024,18,38,26.451452
Zamfara,2024,18,31,27.656748
Abia,2024,19,19,21.15887
Adamawa,2024,19,38,35.024406
Akwa Ibom,2024,19,30,34.975353
Anambra,2024,19,23,23.522383
Bauchi,2024,19,40,33.786983
Bayelsa,2024,19,30,29.341917
Benue,2024,19,29,28.75719
Borno,2024,19,37,30.211601
Cross River,2024,19,38,36.469532
Delta,2024,19,40,32.262947
Ebonyi,2024,19,23,25.235582
Edo,2024,19,28,30.159603
Ekiti,2024,19,24,27.729841
Enugu,2024,19,23,23.936031
FCT,2024,19,31,27.153494
Gombe,2024,19,29,31.601099
Imo,2024,19,29,23.484041
Jigawa,2024,19,37,32.470673
Kaduna,2024,19,33,31.542824
Kano,2024,19,37,30.722027
Katsina,2024,19,24,27.04534
Kebbi,2024,19,34,31.927752
Kogi,2024,19,27,28.189474
Kwara,2024,19,34,26.64973
Lagos,2024,19,16,19.126669
Nasarawa,2024,19,21,28.881552
Niger,2024,19,38,27.948618
Ogun,2024,19,32,30.794641
Ondo,2024,19,23,27.86156
Osun,2024,19,29,29.169914
Oyo,2024,19,24,29.898397
Plateau,2024,19,32,26.643528
Rivers,2024,19,43,29.937895
Sokoto,2024,19,32,30.032997
Taraba,2024,19,27,29.012993
Yobe,2024,19,25,28.698236
Zamfara,2024,19,38,29.870602
Abia,2024,20,18,21.763046
Adamawa,2024,20,33,35.756405
Akwa Ibom,2024,20,38,34.70649
Anambra,2024,20,28,24.429836
Bauchi,2024,20,26,36.092648
Bayelsa,2024,20,36,31.586292
Benue,2024,20,32,29.457987
Borno,2024,20,27,36.364185
Cross River,2024,20,39,38.104424
Delta,2024,20,38,35.012516
Ebonyi,2024,20,28,26.3455
Edo,2024,20,14,29.7043
Ekiti,2024,20,22,29.116692
Enugu,2024,20,34,26.40001
FCT,2024,20,32,29.211111
Gombe,2024,20,36,32.69624
Imo,2024,20,20,25.86677
Jigawa,2024,20,42,33.73684
Kaduna,2024,20,35,32.751297
Kano,2024,20,44,34.342243
Katsina,2024,20,25,28.897472
Kebbi,2024,20,26,34.52044
Kogi,2024,20,29,28.761892
Kwara,2024,20,29,29.1791
Lagos,2024,20,18,19.856556
Nasarawa,2024,20,34,28.84703
Niger,2024,20,25,30.875856
Ogun,2024,20,39,32.255566
Ondo,2024,20,23,28.655193
Osun,2024,20,28,31.527412
Oyo,2024,20,29,29.296717
Plateau,2024,20,31,29.210001
Rivers,2024,20,39,33.886448
Sokoto,2024,20,32,30.638521
Taraba,2024,20,36,31.760801
Yobe,2024,20,29,30.216175
Zamfara,2024,20,40,32.01461
Abia,2024,21,32,23.11328
Adamawa,2024,21,33,38.86844
Akwa Ibom,2024,21,30,35.708103
Anambra,2024,21,26,27.79243
Bauchi,2024,21,38,36.988003
Bayelsa,2024,21,30,34.53851
Benue,2024,21,49,31.09246
Borno,2024,21,41,36.00268
Cross River,2024,21,55,39.967632
Delta,2024,21,37,36.80273
Ebonyi,2024,21,25,27.789906
Edo,2024,21,34,25.53172
Ekiti,2024,21,32,27.129416
Enugu,2024,21,25,28.602583
FCT,2024,21,35,30.044031
Gombe,2024,21,41,35.20293
Imo,2024,21,20,26.281336
Jigawa,2024,21,35,34.657463
Kaduna,2024,21,28,32.063786
Kano,2024,21,40,36.300194
Katsina,2024,21,33,27.490099
Kebbi,2024,21,31,36.373608
Kogi,2024,21,36,29.551199
Kwara,2024,21,20,29.11653
Lagos,2024,21,23,21.546549
Nasarawa,2024,21,44,32.19138
Niger,2024,21,37,31.779804
Ogun,2024,21,35,34.513664
Ondo,2024,21,36,29.885418
Osun,2024,21,28,32.731632
Oyo,2024,21,35,30.05995
Plateau,2024,21,27,30.540585
Rivers,2024,21,38,38.716484
Sokoto,2024,21,49,31.29683
Taraba,2024,21,23,33.707035
Yobe,2024,21,44,31.159643
Zamfara,2024,21,31,36.70262
Abia,2024,22,28,27.395876
Adamawa,2024,22,38,37.09788
Akwa Ibom,2024,22,45,35.43397
Anambra,2024,22,29,27.240526
Bauchi,2024,22,42,35.880764
Bayelsa,2024,22,31,35.44862
Benue,2024,22,39,36.11254
Borno,2024,22,28,35.108837
Cross River,2024,22,43,45.25358
Delta,2024,22,43,37.528744
Ebonyi,2024,22,34,28.632656
Edo,2024,22,37,29.081772
Ekiti,2024,22,21,29.7546
Enugu,2024,22,16,29.500095
FCT,2024,22,37,32.912926
Gombe,2024,22,42,38.217144
Imo,2024,22,20,25.624985
Jigawa,2024,22,50,38.19567
Kaduna,2024,22,42,35.468807
Kano,2024,22,33,40.17598
Katsina,2024,22,39,29.497824
Kebbi,2024,22,32,36.629444
Kogi,2024,22,30,31.36753
Kwara,2024,22,37,28.44541
Lagos,2024,22,21,23.866781
Nasarawa,2024,22,32,34.770653
Niger,2024,22,30,34.26479
Ogun,2024,22,36,35.490807
Ondo,2024,22,30,30.015041
Osun,2024,22,28,31.206078
Oyo,2024,22,31,33.62024
Plateau,2024,22,27,31.332651
Rivers,2024,22,25,39.449226
Sokoto,2024,22,39,35.62793
Taraba,2024,22,47,32.428204
Yobe,2024,22,35,34.776146
Zamfara,2024,22,40,36.66475
Abia,2024,23,32,27.955795
Adamawa,2024,23,31,35.883617
Akwa Ibom,2024,23,33,39.97115
Anambra,2024,23,22,29.157688
Bauchi,2024,23,42,38.158382
Bayelsa,2024,23,42,34.616386
Benue,2024,23,32,39.916145
Borno,2024,23,34,36.087524
Cross River,2024,23,46,45.174805
Delta,2024,23,39,41.01892
Ebonyi,2024,23,29,30.303473
Edo,2024,23,35,33.12801
Ekiti,2024,23,36,27.538944
Enugu,2024,23,20,26.106363
FCT,2024,23,33,35.185757
Gombe,2024,23,44,38.42666
Imo,2024,23,17,25.654562
Jigawa,2024,23,37,44.298756
Kaduna,2024,23,55,34.803036
Kano,2024,23,42,40.24901
Katsina,2024,23,34,32.918648
Kebbi,2024,23,30,34.87871
Kogi,2024,23,26,33.791996
Kwara,2024,23,31,32.946194
Lagos,2024,23,27,24.37134
Nasarawa,2024,23,25,38.193375
Niger,2024,23,26,33.76936
Ogun,2024,23,46,35.712837
Ondo,2024,23,42,29.673523
Osun,2024,23,23,32.355896
Oyo,2024,23,38,34.055668
Plateau,2024,23,26,32.729275
Rivers,2024,23,52,37.730923
Sokoto,2024,23,39,40.44033
Taraba,2024,23,32,36.184563
Yobe,2024,23,43,36.461296
Zamfara,2024,23,40,37.618256
Abia,2024,24,25,29.888197
Adamawa,2024,24,49,40.967773
Akwa Ibom,2024,24,37,40.335213
Anambra,2024,24,27,28.364794
Bauchi,2024,24,61,43.896397
Bayelsa,2024,24,47,39.710773
Benue,2024,24,36,43.435646
Borno,2024,24,37,39.586227
Cross River,2024,24,44,47.03879
Delta,2024,24,43,41.047615
Ebonyi,2024,24,24,33.88684
Edo,2024,24,33,35.8106
Ekiti,2024,24,30,31.866684
Enugu,2024,24,24,25.72745
FCT,2024,24,37,38.50275
Gombe,2024,24,42,44.752098
Imo,2024,24,29,23.616446
Jigawa,2024,24,47,46.544502
Kaduna,2024,24,64,46.939037
Kano,2024,24,53,43.665066
Katsina,2024,24,56,37.088394
Kebbi,2024,24,48,36.645687
Kogi,2024,24,28,35.311756
Kwara,2024,24,26,34.3613
Lagos,2024,24,17,27.251045
Nasarawa,2024,24,34,37.706856
Niger,2024,24,41,33.758785
Ogun,2024,24,27,47.315845
Ondo,2024,24,28,36.038086
Osun,2024,24,42,31.068153
Oyo,2024,24,23,38.567947
Plateau,2024,24,35,31.754528
Rivers,2024,24,36,44.08615
Sokoto,2024,24,61,47.432846
Taraba,2024,24,50,40.822014
Yobe,2024,24,55,43.088486
Zamfara,2024,24,45,42.936657
Abia,2024,25,25,31.876562
Adamawa,2024,25,50,43.648075
Akwa Ibom,2024,25,43,39.599648
Anambra,2024,25,28,28.946058
Bauchi,2024,25,61,55.058308
Bayelsa,2024,25,34,42.385757
Benue,2024,25,46,43.112694
Borno,2024,25,47,40.609047
Cross River,2024,25,43,51.109673
Delta,2024,25,38,46.829945
Ebonyi,2024,25,23,30.706533
Edo,2024,25,25,37.52091
Ekiti,2024,25,26,34.0327
Enugu,2024,25,28,26.014355
FCT,2024,25,21,38.52565
Gombe,2024,25,44,44.837086
Imo,2024,25,21,25.76291
Jigawa,2024,25,51,44.289257
Kaduna,2024,25,61,49.6639
Kano,2024,25,54,46.384865
Katsina,2024,25,40,50.031597
Kebbi,2024,25,45,42.122456
Kogi,2024,25,21,36.076355
Kwara,2024,25,32,33.78995
Lagos,2024,25,21,24.646048
Nasarawa,2024,25,35,38.007828
Niger,2024,25,34,38.506847
Ogun,2024,25,38,43.668964
Ondo,2024,25,25,37.69325
Osun,2024,25,27,35.369495
Oyo,2024,25,37,35.023403
Plateau,2024,25,25,33.766144
Rivers,2024,25,45,43.941853
Sokoto,2024,25,52,50.53616
Taraba,2024,25,62,44.581192
Yobe,2024,25,59,48.416767
Zamfara,2024,25,51,49.221207
Abia,2024,26,28,27.925976
Adamawa,2024,26,50,45.554047
Akwa Ibom,2024,26,37,40.2241
Anambra,2024,26,21,27.68616
Bauchi,2024,26,47,55.02191
Bayelsa,2024,26,42,41.411808
Benue,2024,26,37,45.004894
Borno,2024,26,45,45.261177
Cross River,2024,26,48,47.980835
Delta,2024,26,52,40.206444
Ebonyi,2024,26,20,29.069279
Edo,2024,26,36,34.29868
Ekiti,2024,26,16,31.158031
Enugu,2024,26,32,25.749802
FCT,2024,26,23,34.724384
Gombe,2024,26,35,46.894394
Imo,2024,26,18,23.6748
Jigawa,2024,26,53,49.984642
Kaduna,2024,26,55,58.93667
Kano,2024,26,58,48.251217
Katsina,2024,26,55,46.72456
Kebbi,2024,26,53,47.20033
Kogi,2024,26,30,28.796358
Kwara,2024,26,35,33.710346
Lagos,2024,26,26,23.10885
Nasarawa,2024,26,26,36.57615
Niger,2024,26,31,37.24922
Ogun,2024,26,26,40.448532
Ondo,2024,26,33,33.912495
Osun,2024,26,30,34.93835
Oyo,2024,26,30,34.99888
Plateau,2024,26,36,31.768053
Rivers,2024,26,29,45.3684
Sokoto,2024,26,51,51.014153
Taraba,2024,26,54,48.47982
Yobe,2024,26,58,48.17397
Zamfara,2024,26,55,48.024216
Abia,2024,27,19,27.469423
Adamawa,2024,27,57,48.404537
Akwa Ibom,2024,27,45,40.978863
Anambra,2024,27,28,24.046852
Bauchi,2024,27,57,56.99299
Bayelsa,2024,27,40,42.232513
Benue,2024,27,33,40.988594
Borno,2024,27,58,43.915497
Cross River,2024,27,53,49.306946
Delta,2024,27,38,46.239567
Ebonyi,2024,27,23,23.793297
Edo,2024,27,39,30.931728
Ekiti,2024,27,33,26.899828
Enugu,2024,27,25,26.380953
FCT,2024,27,38,28.157885
Gombe,2024,27,46,41.7935
Imo,2024,27,25,22.651367
Jigawa,2024,27,61,48.46817
Kaduna,2024,27,58,60.4995
Kano,2024,27,38,51.86891
Katsina,2024,27,55,52.749928
Kebbi,2024,27,42,47.117077
Kogi,2024,27,31,26.359709
Kwara,2024,27,25,29.21976
Lagos,2024,27,20,23.541157
Nasarawa,2024,27,33,29.907953
Niger,2024,27,34,32.42473
Ogun,2024,27,33,31.907295
Ondo,2024,27,36,31.193342
Osun,2024,27,23,29.994837
Oyo,2024,27,35,30.705341
Plateau,2024,27,32,29.618626
Rivers,2024,27,41,41.27996
Sokoto,2024,27,60,53.238922
Taraba,2024,27,56,50.60609
Yobe,2024,27,52,59.006157
Zamfara,2024,27,65,45.870625
Abia,2024,28,35,24.100857
Adamawa,2024,28,56,53.054985
Akwa Ibom,2024,28,34,38.4121
Anambra,2024,28,26,25.966743
Bauchi,2024,28,66,65.267746
Bayelsa,2024,28,37,40.561073
Benue,2024,28,30,39.725063
Borno,2024,28,57,52.987
Cross River,2024,28,37,53.555218
Delta,2024,28,35,43.67901
Ebonyi,2024,28,26,22.606222
Edo,2024,28,34,31.561838
Ekiti,2024,28,32,26.276918
Enugu,2024,28,24,27.165619
FCT,2024,28,28,30.681246
Gombe,2024,28,57,43.10647
Imo,2024,28,27,22.791372
Jigawa,2024,28,70,57.118378
Kaduna,2024,28,42,63.115788
Kano,2024,28,68,50.45502
Katsina,2024,28,41,50.627125
Kebbi,2024,28,53,43.906025
Kogi,2024,28,35,27.06855
Kwara,2024,28,29,29.146137
Lagos,2024,28,38,22.719975
Nasarawa,2024,28,42,32.088127
Niger,2024,28,46,37.076454
Ogun,2024,28,29,32.007404
Ondo,2024,28,31,29.820127
Osun,2024,28,29,30.315123
Oyo,2024,28,39,31.002483
Plateau,2024,28,29,29.366768
Rivers,2024,28,68,39.269188
Sokoto,2024,28,64,65.477516
Taraba,2024,28,45,57.766853
Yobe,2024,28,43,60.713135
Zamfara,2024,28,62,59.016758
Abia,2024,29,35,25.803629
Adamawa,2024,29,55,59.7816
Akwa Ibom,2024,29,45,43.23124
Anambra,2024,29,32,26.978981
Bauchi,2024,29,56,65.825584
Bayelsa,2024,29,35,40.186462
Benue,2024,29,39,38.153122
Borno,2024,29,57,51.586185
Cross River,2024,29,29,48.004154
Delta,2024,29,37,43.093582
Ebonyi,2024,29,31,24.119665
Edo,2024,29,23,34.148914
Ekiti,2024,29,29,26.937748
Enugu,2024,29,23,25.935812
FCT,2024,29,22,28.273115
Gombe,2024,29,38,46.354084
Imo,2024,29,34,23.593662
Jigawa,2024,29,62,62.10625
Kaduna,2024,29,73,57.887726
Kano,2024,29,68,63.088085
Katsina,2024,29,45,47.064404
Kebbi,2024,29,49,45.570698
Kogi,2024,29,26,29.258806
Kwara,2024,29,37,30.27828
Lagos,2024,29,41,26.447401
Nasarawa,2024,29,33,32.770794
Niger,2024,29,39,38.739872
Ogun,2024,29,27,32.64716
Ondo,2024,29,31,31.801529
Osun,2024,29,33,27.640268
Oyo,2024,29,32,35.316555
Plateau,2024,29,35,29.725288
Rivers,2024,29,65,49.55594
Sokoto,2024,29,48,57.231464
Taraba,2024,29,61,56.480995
Yobe,2024,29,49,53.820328
Zamfara,2024,29,50,59.97451
Abia,2024,30,23,28.73555
Adamawa,2024,30,38,53.53213
Akwa Ibom,2024,30,46,40.629032
Anambra,2024,30,25,26.456715
Bauchi,2024,30,70,53.615498
Bayelsa,2024,30,25,41.974663
Benue,2024,30,31,34.616764
Borno,2024,30,85,59.313046
Cross River,2024,30,42,39.023773
Delta,2024,30,38,40.142902
Ebonyi,2024,30,15,26.269978
Edo,2024,30,37,31.925962
Ekiti,2024,30,30,27.561514
Enugu,2024,30,23,24.853027
FCT,2024,30,37,26.873951
Gombe,2024,30,55,46.942005
Imo,2024,30,15,26.10991
Jigawa,2024,30,45,64.055016
Kaduna,2024,30,55,59.174007
Kano,2024,30,57,63.081318
Katsina,2024,30,42,42.664394
Kebbi,2024,30,44,49.90521
Kogi,2024,30,27,28.701036
Kwara,2024,30,26,28.933764
Lagos,2024,30,30,29.508368
Nasarawa,2024,30,28,31.1072
Niger,2024,30,38,36.026913
Ogun,2024,30,29,29.506842
Ondo,2024,30,48,32.307667
Osun,2024,30,32,28.6974
Oyo,2024,30,24,32.63368
Plateau,2024,30,20,30.171007
Rivers,2024,30,53,52.736473
Sokoto,2024,30,48,55.632076
Taraba,2024,30,34,55.97355
Yobe,2024,30,39,52.76085
Zamfara,2024,30,57,62.82779
Abia,2024,31,28,25.359383
Adamawa,2024,31,38,47.01563
Akwa Ibom,2024,31,37,43.487522
Anambra,2024,31,20,26.60042
Bauchi,2024,31,59,67.69733
Bayelsa,2024,31,40,35.001965
Benue,2024,31,32,30.889324
Borno,2024,31,70,59.320408
Cross River,2024,31,42,41.769157
Delta,2024,31,27,36.951637
Ebonyi,2024,31,22,21.847883
Edo,2024,31,37,31.203995
Ekiti,2024,31,31,29.196592
Enugu,2024,31,23,22.014547
FCT,2024,31,24,26.324667
Gombe,2024,31,43,44.1583
Imo,2024,31,18,23.07333
Jigawa,2024,31,54,58.80116
Kaduna,2024,31,47,58.02803
Kano,2024,31,64,50.882133
Katsina,2024,31,53,50.092926
Kebbi,2024,31,47,40.09137
Kogi,2024,31,27,27.026838
Kwara,2024,31,28,27.350897
Lagos,2024,31,22,29.926159
Nasarawa,2024,31,31,30.107656
Niger,2024,31,27,35.694397
Ogun,2024,31,31,28.246025
Ondo,2024,31,29,36.591774
Osun,2024,31,23,28.680155
Oyo,2024,31,28,30.586288
Plateau,2024,31,30,27.246933
Rivers,2024,31,40,53.602345
Sokoto,2024,31,49,51.717484
Taraba,2024,31,44,41.98706
Yobe,2024,31,48,45.338932
Zamfara,2024,31,38,61.6003
Abia,2024,32,17,24.92041
Adamawa,2024,32,36,38.70251
Akwa Ibom,2024,32,36,43.239426
Anambra,2024,32,25,23.48146
Bauchi,2024,32,54,58.337463
Bayelsa,2024,32,39,30.456432
Benue,2024,32,26,28.521347
Borno,2024,32,77,66.26206
Cross River,2024,32,42,40.100193
Delta,2024,32,31,30.913225
Ebonyi,2024,32,16,20.056622
Edo,2024,32,25,29.929546
Ekiti,2024,32,32,27.779146
Enugu,2024,32,19,20.955587
FCT,2024,32,36,23.673498
Gombe,2024,32,48,43.44531
Imo,2024,32,27,20.170792
Jigawa,2024,32,59,53.749718
Kaduna,2024,32,46,48.018963
Kano,2024,32,78,63.557766
Katsina,2024,32,41,43.852882
Kebbi,2024,32,56,37.415306
Kogi,2024,32,23,25.836409
Kwara,2024,32,26,25.493706
Lagos,2024,32,34,25.870417
Nasarawa,2024,32,29,27.24911
Niger,2024,32,25,34.91116
Ogun,2024,32,26,26.637999
Ondo,2024,32,27,34.88203
Osun,2024,32,27,26.804218
Oyo,2024,32,24,28.078665
Plateau,2024,32,26,24.955265
Rivers,2024,32,46,49.610775
Sokoto,2024,32,48,43.92276
Taraba,2024,32,51,36.80172
Yobe,2024,32,45,38.71945
Zamfara,2024,32,27,42.872066
Abia,2024,33,28,22.359749
Adamawa,2024,33,67,36.913647
Akwa Ibom,2024,33,27,37.376434
Anambra,2024,33,18,22.115995
Bauchi,2024,33,59,55.40304
Bayelsa,2024,33,35,32.518867
Benue,2024,33,28,27.216318
Borno,2024,33,67,51.6772
Cross River,2024,33,34,38.341106
Delta,2024,33,31,30.227121
Ebonyi,2024,33,24,19.66074
Edo,2024,33,27,26.454
Ekiti,2024,33,21,26.111233
Enugu,2024,33,30,20.915829
FCT,2024,33,22,24.638227
Gombe,2024,33,45,37.56237
Imo,2024,33,23,21.14434
Jigawa,2024,33,40,53.917503
Kaduna,2024,33,44,50.142063
Kano,2024,33,64,51.33996
Katsina,2024,33,45,38.00878
Kebbi,2024,33,38,39.46765
Kogi,2024,33,25,22.302706
Kwara,2024,33,34,25.255217
Lagos,2024,33,23,26.94181
Nasarawa,2024,33,24,26.437565
Niger,2024,33,29,26.495731
Ogun,2024,33,29,26.122812
Ondo,2024,33,26,29.415522
Osun,2024,33,30,25.863981
Oyo,2024,33,29,24.200453
Plateau,2024,33,26,23.707794
Rivers,2024,33,48,44.215595
Sokoto,2024,33,44,42.453297
Taraba,2024,33,54,39.85324
Yobe,2024,33,32,39.256893
Zamfara,2024,33,46,37.92529
Abia,2024,34,21,20.8131
Adamawa,2024,34,40,41.98273
Akwa Ibom,2024,34,27,32.862015
Anambra,2024,34,18,19.928673
Bauchi,2024,34,75,56.842426
Bayelsa,2024,34,30,33.245987
Benue,2024,34,22,25.983603
Borno,2024,34,54,61.629116
Cross River,2024,34,34,36.11721
Delta,2024,34,37,28.844736
Ebonyi,2024,34,17,19.262123
Edo,2024,34,34,26.392735
Ekiti,2024,34,37,24.436129
Enugu,2024,34,23,20.782936
FCT,2024,34,21,24.5355
Gombe,2024,34,34,38.68607
Imo,2024,34,18,19.262917
Jigawa,2024,34,47,38.6363
Kaduna,2024,34,42,37.455578
Kano,2024,34,71,59.56828
Katsina,2024,34,28,35.86445
Kebbi,2024,34,47,38.366116
Kogi,2024,34,25,22.572659
Kwara,2024,34,24,25.044476
Lagos,2024,34,25,23.519688
Nasarawa,2024,34,18,23.927536
Niger,2024,34,30,25.998852
Ogun,2024,34,29,24.860445
Ondo,2024,34,25,27.073116
Osun,2024,34,25,22.669579
Oyo,2024,34,23,23.319872
Plateau,2024,34,17,23.394339
Rivers,2024,34,48,38.607044
